userID,merchantID,transactionID,datetime,day_of_week,amount,is_fraud
USER_0368,MERCH_069,TXN_00004398,2024-02-13 01:33:00,Tuesday,16829.67,1
USER_0355,MERCH_030,TXN_00004341,2024-02-13 02:31:00,Tuesday,17606.69,1
USER_0299,MERCH_030,TXN_00002393,2024-02-13 04:27:00,Tuesday,7542.58,0
USER_0189,MERCH_046,TXN_00003813,2024-02-13 04:46:00,Tuesday,7982.51,0
USER_0083,MERCH_070,TXN_00000021,2024-02-13 08:38:00,Tuesday,1136.34,0
USER_0454,MERCH_068,TXN_00003039,2024-02-13 08:59:00,Tuesday,5823.79,0
USER_0362,MERCH_035,TXN_00003391,2024-02-13 09:38:00,Tuesday,4506.02,0
USER_0194,MERCH_054,TXN_00003664,2024-02-13 10:08:00,Tuesday,13226.49,0
USER_0342,MERCH_032,TXN_00002161,2024-02-13 10:54:00,Tuesday,1350.2,0
USER_0425,MERCH_080,TXN_00001190,2024-02-13 11:03:00,Tuesday,11375.82,0
USER_0123,MERCH_023,TXN_00000112,2024-02-13 11:26:00,Tuesday,5156.68,0
USER_0376,MERCH_089,TXN_00000488,2024-02-13 11:44:00,Tuesday,10741.82,0
USER_0244,MERCH_066,TXN_00001337,2024-02-13 12:40:00,Tuesday,13688.52,0
USER_0124,MERCH_092,TXN_00000232,2024-02-13 15:39:00,Tuesday,4994.65,0
USER_0025,MERCH_083,TXN_00003489,2024-02-13 16:03:00,Tuesday,5114.83,0
USER_0321,MERCH_076,TXN_00003328,2024-02-13 16:32:00,Tuesday,4043.94,0
USER_0494,MERCH_025,TXN_00002171,2024-02-13 16:41:00,Tuesday,4942.48,0
USER_0020,MERCH_025,TXN_00003147,2024-02-13 17:08:00,Tuesday,2497.95,0
USER_0142,MERCH_012,TXN_00003435,2024-02-13 17:27:00,Tuesday,12798.28,0
USER_0317,MERCH_051,TXN_00003061,2024-02-13 17:35:00,Tuesday,4200.99,0
USER_0347,MERCH_092,TXN_00003934,2024-02-13 18:29:00,Tuesday,5086.12,0
USER_0385,MERCH_018,TXN_00003026,2024-02-13 19:02:00,Tuesday,2243.63,0
USER_0346,MERCH_005,TXN_00000677,2024-02-13 19:10:00,Tuesday,2931.56,0
USER_0279,MERCH_022,TXN_00001378,2024-02-13 19:15:00,Tuesday,7623.5,0
USER_0353,MERCH_065,TXN_00001794,2024-02-13 19:19:00,Tuesday,3454.79,0
USER_0460,MERCH_064,TXN_00000909,2024-02-13 19:59:00,Tuesday,3733.39,0
USER_0299,MERCH_011,TXN_00002302,2024-02-13 21:52:00,Tuesday,13527.01,0
USER_0455,MERCH_075,TXN_00000866,2024-02-13 22:48:00,Tuesday,2044.52,0
USER_0199,MERCH_092,TXN_00000845,2024-02-14 01:19:00,Wednesday,12809.68,0
USER_0414,MERCH_041,TXN_00000634,2024-02-14 02:20:00,Wednesday,2550.68,0
USER_0131,MERCH_061,TXN_00003585,2024-02-14 09:03:00,Wednesday,4124.88,0
USER_0368,MERCH_061,TXN_00000298,2024-02-14 11:35:00,Wednesday,9106.43,0
USER_0190,MERCH_039,TXN_00003883,2024-02-14 12:51:00,Wednesday,6727.29,0
USER_0472,MERCH_036,TXN_00003765,2024-02-14 12:52:00,Wednesday,5537.97,0
USER_0257,MERCH_006,TXN_00003808,2024-02-14 14:11:00,Wednesday,3925.91,0
USER_0158,MERCH_053,TXN_00003839,2024-02-14 14:26:00,Wednesday,7794.86,0
USER_0191,MERCH_077,TXN_00002699,2024-02-14 16:03:00,Wednesday,5592.45,0
USER_0172,MERCH_067,TXN_00003440,2024-02-14 16:05:00,Wednesday,6150.49,0
USER_0264,MERCH_020,TXN_00001410,2024-02-14 16:09:00,Wednesday,2750.94,0
USER_0310,MERCH_094,TXN_00002558,2024-02-14 16:17:00,Wednesday,2645.07,0
USER_0011,MERCH_098,TXN_00000078,2024-02-14 16:22:00,Wednesday,3729.91,0
USER_0304,MERCH_008,TXN_00002104,2024-02-14 17:05:00,Wednesday,2384.04,0
USER_0462,MERCH_048,TXN_00001572,2024-02-14 17:59:00,Wednesday,1367.44,0
USER_0177,MERCH_063,TXN_00000649,2024-02-14 18:32:00,Wednesday,4079.29,0
USER_0182,MERCH_029,TXN_00000877,2024-02-14 18:36:00,Wednesday,6116.39,0
USER_0267,MERCH_042,TXN_00001304,2024-02-14 19:04:00,Wednesday,1489.89,0
USER_0277,MERCH_015,TXN_00003356,2024-02-14 20:19:00,Wednesday,4381.72,0
USER_0191,MERCH_084,TXN_00002343,2024-02-14 20:20:00,Wednesday,1596.58,0
USER_0475,MERCH_076,TXN_00000947,2024-02-14 21:26:00,Wednesday,8281.37,0
USER_0290,MERCH_046,TXN_00002806,2024-02-15 00:10:00,Thursday,6316.83,0
USER_0219,MERCH_031,TXN_00004410,2024-02-15 00:36:00,Thursday,19630.57,1
USER_0331,MERCH_039,TXN_00000042,2024-02-15 10:29:00,Thursday,4940.96,0
USER_0122,MERCH_100,TXN_00002098,2024-02-15 10:46:00,Thursday,6648.9,0
USER_0005,MERCH_080,TXN_00003515,2024-02-15 10:55:00,Thursday,1306.61,0
USER_0472,MERCH_025,TXN_00001783,2024-02-15 11:12:00,Thursday,4682.02,0
USER_0230,MERCH_054,TXN_00003297,2024-02-15 11:28:00,Thursday,3640.73,0
USER_0024,MERCH_007,TXN_00001490,2024-02-15 13:22:00,Thursday,7711.17,0
USER_0112,MERCH_048,TXN_00002388,2024-02-15 13:58:00,Thursday,1841.94,0
USER_0344,MERCH_055,TXN_00002983,2024-02-15 14:28:00,Thursday,1993.96,0
USER_0239,MERCH_068,TXN_00003260,2024-02-15 14:40:00,Thursday,2442.23,0
USER_0466,MERCH_070,TXN_00003738,2024-02-15 15:18:00,Thursday,5972.64,0
USER_0086,MERCH_085,TXN_00003067,2024-02-15 15:20:00,Thursday,8828.75,0
USER_0157,MERCH_080,TXN_00002575,2024-02-15 15:56:00,Thursday,2713.24,0
USER_0397,MERCH_023,TXN_00000675,2024-02-15 16:12:00,Thursday,7515.31,0
USER_0405,MERCH_032,TXN_00001505,2024-02-15 17:09:00,Thursday,3034.62,0
USER_0306,MERCH_060,TXN_00000017,2024-02-15 17:43:00,Thursday,5771.97,0
USER_0482,MERCH_014,TXN_00003313,2024-02-15 18:13:00,Thursday,6645.3,0
USER_0030,MERCH_031,TXN_00001664,2024-02-15 18:14:00,Thursday,6267.98,0
USER_0425,MERCH_044,TXN_00001418,2024-02-15 18:27:00,Thursday,2975.56,0
USER_0244,MERCH_072,TXN_00000612,2024-02-15 19:07:00,Thursday,4119.67,0
USER_0130,MERCH_006,TXN_00001007,2024-02-15 19:48:00,Thursday,1866.55,0
USER_0141,MERCH_056,TXN_00003200,2024-02-15 20:10:00,Thursday,2165.5,0
USER_0008,MERCH_033,TXN_00003160,2024-02-15 20:38:00,Thursday,7392.01,0
USER_0469,MERCH_045,TXN_00000869,2024-02-15 21:39:00,Thursday,10829.98,0
USER_0017,MERCH_017,TXN_00002092,2024-02-15 21:47:00,Thursday,3118.97,0
USER_0151,MERCH_042,TXN_00001445,2024-02-15 22:52:00,Thursday,6113.34,0
USER_0291,MERCH_081,TXN_00001498,2024-02-16 01:09:00,Friday,3166.8,0
USER_0036,MERCH_060,TXN_00004672,2024-02-16 03:25:00,Friday,19070.87,1
USER_0094,MERCH_015,TXN_00002884,2024-02-16 03:29:00,Friday,2933.29,0
USER_0290,MERCH_075,TXN_00004504,2024-02-16 05:51:00,Friday,18881.79,1
USER_0467,MERCH_015,TXN_00002653,2024-02-16 07:04:00,Friday,7377.5,0
USER_0346,MERCH_098,TXN_00002110,2024-02-16 07:47:00,Friday,3228.79,0
USER_0441,MERCH_058,TXN_00003120,2024-02-16 07:59:00,Friday,5064.2,0
USER_0292,MERCH_074,TXN_00003368,2024-02-16 09:38:00,Friday,3922.54,0
USER_0395,MERCH_010,TXN_00000435,2024-02-16 10:16:00,Friday,7458.06,0
USER_0274,MERCH_053,TXN_00003686,2024-02-16 10:31:00,Friday,1543.31,0
